Seq,w1mpro,w2mpro,mjd
204,13.494,12.783,58794.29777
204,13.53,12.871,58795.86772
204,13.4,12.8,58794.82101
204,13.53,12.783,58796.1294
204,13.383,12.758,58629.38552
204,13.464,12.817,58625.85317
204,13.54,12.784,58789.84999
204,13.446,12.728,58790.50412
204,13.459,12.78,58627.29234
204,13.321,12.868,58787.23345
204,13.521,12.764,58790.37335
204,13.547,12.702,58791.81239
204,13.474,12.837,58792.59743
204,13.533,12.738,58792.72821
204,13.522,12.685,58795.21359
204,13.426,12.757,58794.16687
204,13.423,12.788,58629.25474
204,13.379,12.709,58626.76898
204,13.427,12.928,58789.06495
204,13.485,12.868,58789.58831
204,13.455,12.875,58627.68479
204,13.576,12.939,58628.99306
204,13.486,12.777,58787.75668
204,13.594,12.822,58788.41082
204,13.589,12.873,58792.20498
204,13.541,12.746,58792.46665
204,13.51,12.816,58793.64364
204,13.384,12.748,58793.77441
204,13.428,12.69,58627.8157
204,13.578,12.843,58627.94647
204,13.469,12.735,58787.88758
204,13.43,12.836,58788.54172
204,13.331,12.879,58628.73138
204,13.386,12.744,58626.5073
204,13.453,12.714,58790.11167
204,13.357,12.805,58790.24244
204,13.435,12.869,58794.03609
204,13.455,12.914,58791.9433
204,13.467,12.857,58792.07407
204,13.421,12.746,58792.85911
213,11.496,10.486,56804.699
213,11.477,10.463,56804.83054
213,11.435,10.432,56975.91673
213,11.456,10.482,56976.17968
213,11.477,10.409,56799.56653
213,11.485,10.421,56799.69807
213,11.483,10.442,56978.28343
213,11.443,10.449,56981.04451
213,11.458,10.474,56979.86115
213,11.444,10.421,56803.38297
213,11.488,10.461,56802.33014
213,11.498,10.501,56980.78155
213,11.486,10.468,56980.38706
213,11.5,10.462,56978.80934
213,11.506,10.45,56798.77691
213,11.454,10.414,56795.88151
213,11.675,10.796,56796.86863
213,12.037,10.97,56796.21055
213,11.456,10.424,56796.27638
213,11.479,10.443,56795.48676
213,11.53,10.474,56804.83067
213,11.512,10.444,56804.56746
213,11.442,10.436,56977.23162
213,11.467,10.459,56976.04827
213,11.475,10.453,56803.90938
213,11.461,10.445,56799.04012
213,11.428,10.425,56977.49457
213,11.474,10.469,56981.83324
213,11.465,10.477,56981.17592
213,11.494,10.432,56980.65001
213,11.498,10.449,56801.27731
213,11.476,10.457,56801.93539
213,11.494,10.448,56981.43887
213,11.475,10.433,56979.72974
213,11.475,10.452,56795.22355
213,11.496,10.452,56796.67126
213,11.477,10.439,56798.90858
213,11.468,10.442,56797.98729
213,11.75,10.877,56797.92146
213,11.502,10.448,56796.14472
213,11.488,10.461,56804.96221
213,11.891,10.696,56791.86745
213,11.464,10.442,56976.44276
213,11.479,10.452,56800.88257
213,11.46,10.5,56803.77784
213,11.458,10.428,56799.96128
213,11.455,10.453,56800.09295
213,11.478,10.444,56978.94088
213,11.482,10.462,56979.5982
213,11.523,10.468,56803.25143
213,11.509,10.454,56801.80373
213,11.484,10.428,56980.5186
213,11.541,10.442,56978.41485
213,11.486,10.423,56798.18467
213,11.472,10.436,56797.32921
213,11.477,10.467,56797.72409
213,11.48,10.463,56797.85563
213,11.546,10.495,56796.14484
213,11.506,10.438,56798.90845
213,11.438,10.487,57345.87133
213,11.91,10.811,56793.97322
213,11.918,10.755,56792.78873
213,11.466,10.457,56976.31122
213,11.531,10.504,56800.61936
213,11.461,10.464,56802.72502
213,11.493,10.482,56804.30426
213,11.497,10.515,56981.70183
213,11.48,10.421,56979.99269
213,11.478,10.452,56801.67219
213,11.46,10.454,56801.01411
213,11.491,10.477,56982.35915
213,11.472,10.511,56979.07229
213,11.71,10.831,56796.60542
213,11.614,10.671,56796.34222
213,11.496,10.429,56977.62599
213,11.524,10.44,56978.54639
213,11.488,10.428,56798.64525
213,11.892,10.891,56795.94734
213,11.485,10.523,57165.53746
213,11.465,10.437,57166.19363
213,12.01,10.783,56793.05194
213,11.878,10.681,56791.60424
213,11.448,10.421,56975.78532
213,11.475,10.447,56976.44263
213,11.469,10.455,56804.04105
213,11.448,10.467,56804.17259
213,11.474,10.465,56979.46679
213,11.469,10.447,56977.36303
213,11.453,10.455,56802.85656
213,11.479,10.48,56802.98822
213,11.44,10.449,56980.91297
213,11.508,10.448,56980.12411
213,11.571,10.633,56794.3681
213,11.731,10.682,56795.15772
213,11.739,10.888,56797.65825
213,11.486,10.439,56979.20383
213,11.49,10.445,56795.6183
213,11.826,10.86,56794.23643
213,11.475,10.423,57165.27502
213,11.473,10.454,57165.66875
213,11.668,10.576,56793.1836
213,11.569,10.568,56791.73591
213,11.477,10.459,56976.70572
213,11.47,10.417,56977.10008
213,11.462,10.455,56802.59335
213,11.456,10.434,56803.11976
213,11.476,10.451,56979.33525
213,11.52,10.444,56977.88907
213,11.489,10.435,56801.54052
213,11.437,10.382,56799.17166
213,11.483,10.471,56981.96478
213,11.489,10.498,56978.67793
213,11.671,10.674,56794.89451
213,11.763,10.757,56795.68414
213,11.728,10.828,56797.39505
213,11.464,10.443,56797.59242
213,11.491,10.467,56798.31633
213,11.505,10.416,56797.19767
213,11.485,10.47,57165.79991
213,11.467,10.461,57164.48756
213,11.785,10.73,56792.26232
213,11.57,10.485,56792.9204
213,11.467,10.444,56975.65378
213,11.484,10.467,56976.57417
213,11.484,10.465,56799.82974
213,11.453,10.45,56800.7509
213,11.473,10.373,56978.6778
213,11.475,10.438,56978.15189
213,11.52,10.459,56800.35615
213,11.498,10.48,56802.46181
213,11.502,10.444,56982.22774
213,11.487,10.451,56981.57029
213,11.483,10.465,56981.30746
213,11.698,10.696,56794.63131
